feature,importance
creatinine_last,849
bun_last,594
platelets_last,559
hours_since_icu_intime,529
phosphate_last,486
creatinine_delta,477
wbc_last,452
calcium_last,444
hemoglobin_last,443
bicarbonate_last,417
chloride_last,375
potassium_last,357
bun_delta,320
glucose_last,317
sodium_last,280
anion_gap_last,249
magnesium_last,245
calcium_delta,224
phosphate_delta,177
glucose_delta,168
potassium_delta,137
bicarbonate_delta,118
hematocrit_delta,108
wbc_delta,107
platelets_delta,104
magnesium_delta,97
chloride_delta,88
hemoglobin_delta,83
sodium_delta,81
gender_male,60
anion_gap_delta,54
hematocrit_last_is_missing,1
phosphate_last_is_missing,0
bun_last_is_missing,0
potassium_last_is_missing,0
sodium_last_is_missing,0
chloride_last_is_missing,0
bicarbonate_last_is_missing,0
calcium_last_is_missing,0
glucose_last_is_missing,0
magnesium_last_is_missing,0
anion_gap_last_is_missing,0
hemoglobin_last_is_missing,0
