threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
0.1,0.25279026594198034,0.12733244353720133,0.9875177592855693,0.225578376373499,0.8444517750622565,0.4752199606732368,12873,66691,123,9731
0.15,0.38625332707061216,0.14762873689153233,0.9571747513700021,0.2558038620091126,0.8444517750622565,0.4752199606732368,25106,54458,422,9432
0.2,0.4904046165201637,0.16978270920018493,0.9317028617820174,0.28722489011246854,0.8444517750622565,0.4752199606732368,34670,44894,673,9181
0.25,0.5715404057348632,0.19209296286678784,0.9008524457073269,0.3166625049049335,0.8444517750622565,0.4752199606732368,42229,37335,977,8877
0.3,0.6383390368829542,0.21666372640439527,0.8724375887964279,0.34712212060646436,0.8444517750622565,0.4752199606732368,48482,31082,1257,8597
0.35,0.6909123442707285,0.24166182452062754,0.8441242135173533,0.37575100510457604,0.8444517750622565,0.4752199606732368,53462,26102,1536,8318
0.4,0.7342034042362835,0.26738003678314665,0.8114471280698193,0.402223395960663,0.8444517750622565,0.4752199606732368,57655,21909,1858,7996
0.45,0.7676418618175311,0.29152192999198384,0.7750152222447737,0.4236775678899337,0.8444517750622565,0.4752199606732368,61004,18560,2217,7637
0.5,0.7955668880985931,0.31673046807029753,0.738887761315202,0.4433956519091407,0.8444517750622565,0.4752199606732368,63857,15707,2573,7281
0.55,0.8197678319801383,0.34416683257017716,0.7017454840673838,0.46183129633340014,0.8444517750622565,0.4752199606732368,66387,13177,2939,6915
0.6,0.8398197230982576,0.3719264056857913,0.6585143089100872,0.475367202666569,0.8444517750622565,0.4752199606732368,68606,10958,3365,6489
0.65,0.8571652240041155,0.4026294714361986,0.6122386847980515,0.4857879056284725,0.8444517750622565,0.4752199606732368,70613,8951,3821,6033
0.7,0.8726319085642712,0.43821943169926747,0.5524660036533388,0.48875521838667685,0.8444517750622565,0.4752199606732368,72585,6979,4410,5444
0.75,0.8870249837840256,0.48747980613893377,0.4899533184493607,0.48871343253365723,0.8444517750622565,0.4752199606732368,74488,5076,5026,4828
0.8,0.8964078820819075,0.5409904286308781,0.39577836411609496,0.4571294614077243,0.8444517750622565,0.4752199606732368,76255,3309,5954,3900
0.85,0.9009371714867253,0.60375,0.294093769027806,0.3955234065784086,0.8444517750622565,0.4752199606732368,77662,1902,6956,2898
0.9,0.9003108993714912,0.696652719665272,0.16896691698802516,0.2719699444625939,0.8444517750622565,0.4752199606732368,78839,725,8189,1665
